version,created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,patches,conductor,rollbacks,rollbacks_time,group0_delay_days,group1_delay_days,group2_delay_days,train_total_time
1.36.0-wmf.10,2020-09-18 18:16:15,2020-09-21 20:58:55,37,37,74,9,"https://gerrit.wikimedia.org/r/#/q/23b6332a,n,z",268960.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-18 20:17:47,2020-09-21 17:45:38,9,0,9,2,"https://gerrit.wikimedia.org/r/#/q/8b6e85dd,n,z",250071.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-21 08:21:11,2020-09-21 08:56:21,3,3,6,1,"https://gerrit.wikimedia.org/r/#/q/9c1039a9,n,z",2110.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-19 03:11:44,2020-09-19 06:45:08,4,4,8,2,"https://gerrit.wikimedia.org/r/#/q/a0fa89b1,n,z",12804.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-06-25 18:17:50,2020-09-15 04:17:46,5,1,6,7,"https://gerrit.wikimedia.org/r/#/q/fe593cd2,n,z",7034396.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-03-29 22:02:57,2020-09-21 18:48:51,23,27,50,7,"https://gerrit.wikimedia.org/r/#/q/ddcd65f4,n,z",15194754.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-11 15:35:51,2020-09-17 17:58:15,2,1,3,7,"https://gerrit.wikimedia.org/r/#/q/ced0fbbb,n,z",526944.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-03-29 22:02:57,2020-09-21 07:21:33,18,17,35,7,"https://gerrit.wikimedia.org/r/#/q/c9958c5e,n,z",15153516.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-20 00:01:48,2020-09-20 00:09:50,1381,1116,2497,1,"https://gerrit.wikimedia.org/r/#/q/566627fd,n,z",482.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-02 17:41:51,2020-09-17 18:26:58,7,9,16,1,"https://gerrit.wikimedia.org/r/#/q/8f78f9d5,n,z",1298707.0,381,Ahmon Dancy,1,108,0,0,4,1809157
