created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,version,patches,rollbacks
2020-06-24 18:09:13,2020-06-24 18:50:36,2,2,4,1,"https://gerrit.wikimedia.org/r/#/q/4a31a8ca,n,z",2483.0,1.35.0-wmf.39,358,1
2020-06-24 17:20:07,2020-06-24 18:13:21,71,0,71,2,"https://gerrit.wikimedia.org/r/#/q/e1a762c7,n,z",3194.0,1.35.0-wmf.39,358,1
2020-06-24 17:30:22,2020-06-25 11:11:39,2,4,6,2,"https://gerrit.wikimedia.org/r/#/q/c4617c86,n,z",63677.0,1.35.0-wmf.39,358,1
2020-06-24 16:58:43,2020-06-24 17:29:17,4,2,6,1,"https://gerrit.wikimedia.org/r/#/q/0eaab2ef,n,z",1834.0,1.35.0-wmf.39,358,1
2020-06-24 16:48:08,2020-06-24 18:08:08,7,10,17,1,"https://gerrit.wikimedia.org/r/#/q/ead40b35,n,z",4800.0,1.35.0-wmf.39,358,1
2020-06-17 19:08:32,2020-06-29 22:29:09,102,15,117,4,"https://gerrit.wikimedia.org/r/#/q/1ff6ca3f,n,z",1048837.0,1.35.0-wmf.39,358,1
2020-06-24 08:26:52,2020-06-24 14:44:53,228,57,285,2,"https://gerrit.wikimedia.org/r/#/q/b78aa4e9,n,z",22681.0,1.35.0-wmf.39,358,1
2020-06-24 12:30:02,2020-06-24 16:50:42,38,36,74,1,"https://gerrit.wikimedia.org/r/#/q/0414e3b7,n,z",15640.0,1.35.0-wmf.39,358,1
2020-06-24 12:30:02,2020-06-24 16:47:34,11,11,22,1,"https://gerrit.wikimedia.org/r/#/q/4c51333f,n,z",15452.0,1.35.0-wmf.39,358,1
2020-06-24 12:30:02,2020-06-24 16:46:24,16,17,33,1,"https://gerrit.wikimedia.org/r/#/q/4eeff596,n,z",15382.0,1.35.0-wmf.39,358,1
2020-06-24 12:26:11,2020-06-24 16:45:45,27,27,54,1,"https://gerrit.wikimedia.org/r/#/q/949a1763,n,z",15574.0,1.35.0-wmf.39,358,1
2020-06-24 12:26:11,2020-06-24 16:45:30,24,25,49,1,"https://gerrit.wikimedia.org/r/#/q/3ed8860a,n,z",15559.0,1.35.0-wmf.39,358,1
2020-06-24 12:26:11,2020-06-24 16:45:23,36,38,74,1,"https://gerrit.wikimedia.org/r/#/q/cb5e6784,n,z",15552.0,1.35.0-wmf.39,358,1
2020-06-24 12:26:11,2020-06-24 16:36:33,20,22,42,1,"https://gerrit.wikimedia.org/r/#/q/c7926a58,n,z",15022.0,1.35.0-wmf.39,358,1
2020-06-24 12:26:11,2020-06-24 16:36:25,20,21,41,1,"https://gerrit.wikimedia.org/r/#/q/f6ba878a,n,z",15014.0,1.35.0-wmf.39,358,1
2020-06-24 12:26:11,2020-06-24 16:11:22,51,51,102,1,"https://gerrit.wikimedia.org/r/#/q/188206b5,n,z",13511.0,1.35.0-wmf.39,358,1
2020-06-24 02:19:03,2020-06-24 02:49:04,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/04553c0c,n,z",1801.0,1.35.0-wmf.39,358,1
2020-06-24 01:22:48,2020-06-24 03:19:58,29,7,36,1,"https://gerrit.wikimedia.org/r/#/q/c1f07ca6,n,z",7030.0,1.35.0-wmf.39,358,1
2020-06-24 00:57:41,2020-06-24 01:25:01,6,8,14,1,"https://gerrit.wikimedia.org/r/#/q/fda1f662,n,z",1640.0,1.35.0-wmf.39,358,1
2020-06-23 04:32:24,2020-06-24 01:33:57,18,5,23,4,"https://gerrit.wikimedia.org/r/#/q/8ce292db,n,z",75693.0,1.35.0-wmf.39,358,1
2020-06-15 21:19:04,2020-06-24 00:54:03,92,4,96,3,"https://gerrit.wikimedia.org/r/#/q/5abd50b9,n,z",704099.0,1.35.0-wmf.39,358,1
2020-06-20 09:47:39,2020-06-24 03:15:37,27,7,34,3,"https://gerrit.wikimedia.org/r/#/q/f47b779f,n,z",322078.0,1.35.0-wmf.39,358,1
2020-01-30 19:54:48,2020-06-24 22:14:57,630,8,638,27,"https://gerrit.wikimedia.org/r/#/q/df7231ad,n,z",12622809.0,1.35.0-wmf.39,358,1
2020-06-21 02:22:18,2020-06-24 02:01:41,44,0,44,1,"https://gerrit.wikimedia.org/r/#/q/a903da26,n,z",257963.0,1.35.0-wmf.39,358,1
2020-06-06 19:47:28,2020-06-23 16:53:24,22,57,79,5,"https://gerrit.wikimedia.org/r/#/q/15fa9559,n,z",1458356.0,1.35.0-wmf.39,358,1
2020-06-23 14:51:17,2020-06-23 17:28:36,1,4,5,4,"https://gerrit.wikimedia.org/r/#/q/91822c99,n,z",9439.0,1.35.0-wmf.39,358,1
2020-06-22 09:45:25,2020-06-23 15:10:22,8,11,19,9,"https://gerrit.wikimedia.org/r/#/q/de602706,n,z",105897.0,1.35.0-wmf.39,358,1
2020-06-04 17:21:43,2020-06-23 10:18:32,1085,54,1139,35,"https://gerrit.wikimedia.org/r/#/q/3d73bdf5,n,z",1616209.0,1.35.0-wmf.39,358,1
2020-06-23 08:27:32,2020-06-23 15:53:07,0,2,2,1,"https://gerrit.wikimedia.org/r/#/q/29e6895d,n,z",26735.0,1.35.0-wmf.39,358,1
2020-06-12 06:54:10,2020-06-23 04:50:45,14,7,21,3,"https://gerrit.wikimedia.org/r/#/q/f7f6f0d7,n,z",942995.0,1.35.0-wmf.39,358,1
2020-06-22 21:59:41,2020-06-23 20:10:33,11,11,22,1,"https://gerrit.wikimedia.org/r/#/q/b28ec056,n,z",79852.0,1.35.0-wmf.39,358,1
2020-05-04 12:45:04,2020-06-25 04:32:39,14,4,18,28,"https://gerrit.wikimedia.org/r/#/q/cdac5fee,n,z",4463255.0,1.35.0-wmf.39,358,1
2020-06-22 21:06:05,2020-06-25 11:15:14,1,3,4,3,"https://gerrit.wikimedia.org/r/#/q/359178d8,n,z",223749.0,1.35.0-wmf.39,358,1
2020-06-22 20:59:28,2020-06-23 05:01:28,4,42,46,1,"https://gerrit.wikimedia.org/r/#/q/9c7dc9e7,n,z",28920.0,1.35.0-wmf.39,358,1
2020-06-22 20:36:21,2020-06-24 09:29:25,2,4,6,4,"https://gerrit.wikimedia.org/r/#/q/eb095ad3,n,z",132784.0,1.35.0-wmf.39,358,1
2020-06-22 20:25:54,2020-06-23 17:26:03,0,4,4,1,"https://gerrit.wikimedia.org/r/#/q/ebf6ad6b,n,z",75609.0,1.35.0-wmf.39,358,1
2020-06-22 20:06:17,2020-06-23 17:27:18,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/5ef28fab,n,z",76861.0,1.35.0-wmf.39,358,1
2020-06-17 02:54:00,2020-06-25 06:49:23,40,40,80,7,"https://gerrit.wikimedia.org/r/#/q/01f3efe4,n,z",705323.0,1.35.0-wmf.39,358,1
2020-06-12 10:25:11,2020-06-25 16:46:34,103,21,124,7,"https://gerrit.wikimedia.org/r/#/q/03397e46,n,z",1146083.0,1.35.0-wmf.39,358,1
2020-04-05 20:04:16,2020-06-28 11:42:10,23,14,37,4,"https://gerrit.wikimedia.org/r/#/q/be57334d,n,z",7227474.0,1.35.0-wmf.39,358,1
2020-04-15 19:57:55,2020-06-28 11:41:49,13,4,17,9,"https://gerrit.wikimedia.org/r/#/q/381c9340,n,z",6363834.0,1.35.0-wmf.39,358,1
2020-03-17 22:10:45,2020-06-28 11:49:14,19,5,24,4,"https://gerrit.wikimedia.org/r/#/q/081a5d1b,n,z",8861909.0,1.35.0-wmf.39,358,1
2020-06-20 09:34:03,2020-06-23 23:54:48,17,9,26,1,"https://gerrit.wikimedia.org/r/#/q/fc04afa9,n,z",310845.0,1.35.0-wmf.39,358,1
2020-05-15 05:57:31,2020-06-24 17:34:50,162,2,164,25,"https://gerrit.wikimedia.org/r/#/q/93396e96,n,z",3497839.0,1.35.0-wmf.39,358,1
2020-06-18 13:20:49,2020-06-24 00:12:45,36,2,38,1,"https://gerrit.wikimedia.org/r/#/q/a5dc0331,n,z",471116.0,1.35.0-wmf.39,358,1
